title,body,sourceDate
Slow login,The login page takes forever to load and sometimes times out.,2025-01-04
App crashes on startup,Every time I open the app it crashes within ten seconds please fix this.,2025-01-08
Bad export,Exporting my data to CSV fails silently and I lose hours of work.,2025-01-09
Confusing onboarding,The onboarding flow is impossible to understand I had to watch three tutorials.,2025-01-12
Mobile layout broken,The mobile layout is completely broken half the screen is cut off.,2025-01-15
No dark mode,Why is there no dark mode in 2025 this is unacceptable.,2025-01-18
Slow search,Search takes 15 seconds to return results and I have a fast connection.,2025-01-22
Bad notifications,The notification settings reset every time I log out extremely frustrating.,2025-01-25
Pricing too high,Your pricing doubled overnight with no warning this is unacceptable.,2025-01-28
Crashes on big files,The app crashes whenever I upload files larger than 50MB.,2025-02-02
